country,cost_of_living_index,source,year
Algeria,27.4,Numbeo,2023
American Samoa,65.2,Numbeo,2023
Andorra,76.3,Numbeo,2023
Argentina,29.1,Numbeo,2023
Armenia,36.8,Numbeo,2023
Australia,76.8,Numbeo,2023
Austria,73.5,Numbeo,2023
Bahamas,87.4,Numbeo,2023
Belgium,76.1,Numbeo,2023
Bosnia and Herzegovina,37.2,Numbeo,2023
Brazil,37.5,Numbeo,2023
Canada,79.3,Numbeo,2023
Central African Republic,42.1,Numbeo,2023
China,42.0,Numbeo,2023
Colombia,27.9,Numbeo,2023
Croatia,54.2,Numbeo,2023
Czech Republic,52.7,Numbeo,2023
Denmark,93.1,Numbeo,2023
Ecuador,38.2,Numbeo,2023
Egypt,25.3,Numbeo,2023
Estonia,63.4,Numbeo,2023
Finland,83.7,Numbeo,2023
France,79.8,Numbeo,2023
Germany,78.5,Numbeo,2023
Ghana,33.1,Numbeo,2023
Gibraltar,92.4,Numbeo,2023
Greece,56.1,Numbeo,2023
Honduras,33.5,Numbeo,2023
India,24.1,Numbeo,2023
Indonesia,26.0,Numbeo,2023
Iran,22.9,Numbeo,2023
Iraq,31.5,Numbeo,2023
Ireland,91.1,Numbeo,2023
Israel,86.7,Numbeo,2023
Italy,68.4,Numbeo,2023
Japan,74.2,Numbeo,2023
Kenya,29.5,Numbeo,2023
Latvia,59.4,Numbeo,2023
Lithuania,57.8,Numbeo,2023
Luxembourg,102.4,Numbeo,2023
Malaysia,33.4,Numbeo,2023
Malta,65.7,Numbeo,2023
Mauritius,41.2,Numbeo,2023
Mexico,33.5,Numbeo,2023
Moldova,30.2,Numbeo,2023
Netherlands,82.6,Numbeo,2023
New Zealand,78.1,Numbeo,2023
Nigeria,21.5,Numbeo,2023
Pakistan,18.9,Numbeo,2023
Philippines,28.5,Numbeo,2023
Poland,52.4,Numbeo,2023
Portugal,62.4,Numbeo,2023
Puerto Rico,71.3,Numbeo,2023
Qatar,65.3,Numbeo,2023
Romania,44.1,Numbeo,2023
Russia,36.4,Numbeo,2023
Saudi Arabia,49.3,Numbeo,2023
Singapore,84.2,Numbeo,2023
Slovenia,62.8,Numbeo,2023
South Africa,36.8,Numbeo,2023
South Korea,70.1,Numbeo,2023
Spain,62.8,Numbeo,2023
Sweden,86.8,Numbeo,2023
Switzerland,122.4,Numbeo,2023
Thailand,38.9,Numbeo,2023
Turkey,30.9,Numbeo,2023
Ukraine,29.8,Numbeo,2023
United Arab Emirates,62.5,Numbeo,2023
United Kingdom,82.7,Numbeo,2023
United States,100.0,Numbeo,2023
