work_year,job_title,job_category,currency,salary,salary_dollar_usd,employee_residence,experience_level,employment_type,work_setting,company_location,company_size,salary_euro,cost_of_living_index,salary_adjusted_coli
2023,Data DevOps Engineer,Data Engineering,EUR,88000,95012,Germany,Mid-level,Full-time,Hybrid,Germany,L,87411.04,78.5,121034.39
2023,Data Architect,Data Architecture and Modeling,USD,186000,186000,United States,Senior,Full-time,In-person,United States,M,171120.0,100.0,186000.0
2023,Data Architect,Data Architecture and Modeling,USD,81800,81800,United States,Senior,Full-time,In-person,United States,M,75256.0,100.0,81800.0
2023,Data Scientist,Data Science and Research,USD,212000,212000,United States,Senior,Full-time,In-person,United States,M,195040.0,100.0,212000.0
2023,Data Scientist,Data Science and Research,USD,93300,93300,United States,Senior,Full-time,In-person,United States,M,85836.0,100.0,93300.0
2023,Data Scientist,Data Science and Research,USD,130000,130000,United States,Senior,Full-time,Remote,United States,M,119600.0,100.0,130000.0
2023,Data Scientist,Data Science and Research,USD,100000,100000,United States,Senior,Full-time,Remote,United States,M,92000.0,100.0,100000.0
2023,Machine Learning Researcher,Machine Learning and AI,USD,224400,224400,United States,Mid-level,Full-time,In-person,United States,M,206448.0,100.0,224400.0
2023,Machine Learning Researcher,Machine Learning and AI,USD,138700,138700,United States,Mid-level,Full-time,In-person,United States,M,127604.0,100.0,138700.0
2023,Data Engineer,Data Engineering,USD,210000,210000,United States,Executive,Full-time,Remote,United States,M,193200.0,100.0,210000.0
2023,Data Engineer,Data Engineering,USD,168000,168000,United States,Executive,Full-time,Remote,United States,M,154560.0,100.0,168000.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,224400,224400,United States,Senior,Full-time,In-person,United States,M,206448.0,100.0,224400.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,138700,138700,United States,Senior,Full-time,In-person,United States,M,127604.0,100.0,138700.0
2023,Data Scientist,Data Science and Research,GBP,35000,43064,United Kingdom,Mid-level,Full-time,In-person,United Kingdom,M,39618.88,82.7,52072.55
2023,Data Scientist,Data Science and Research,GBP,30000,36912,United Kingdom,Mid-level,Full-time,In-person,United Kingdom,M,33959.04,82.7,44633.62
2023,Data Analyst,Data Analysis,USD,95000,95000,United States,Entry-level,Full-time,In-person,United States,M,87400.0,100.0,95000.0
2023,Data Analyst,Data Analysis,USD,75000,75000,United States,Entry-level,Full-time,In-person,United States,M,69000.0,100.0,75000.0
2023,Data Scientist,Data Science and Research,USD,300000,300000,United States,Senior,Full-time,In-person,United States,M,276000.0,100.0,300000.0
2023,Data Scientist,Data Science and Research,USD,234000,234000,United States,Senior,Full-time,In-person,United States,M,215280.0,100.0,234000.0
2023,Analytics Engineer,Leadership and Management,USD,140000,140000,United States,Mid-level,Full-time,In-person,United States,M,128800.0,100.0,140000.0
2023,Analytics Engineer,Leadership and Management,USD,120000,120000,United States,Mid-level,Full-time,In-person,United States,M,110400.0,100.0,120000.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,204500,204500,United States,Mid-level,Full-time,In-person,United States,M,188140.0,100.0,204500.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,142200,142200,United States,Mid-level,Full-time,In-person,United States,M,130824.0,100.0,142200.0
2023,Data Analyst,Data Analysis,USD,155000,155000,United States,Mid-level,Full-time,In-person,United States,M,142600.0,100.0,155000.0
2023,Data Analyst,Data Analysis,USD,110000,110000,United States,Mid-level,Full-time,In-person,United States,M,101200.0,100.0,110000.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,266500,266500,United States,Senior,Full-time,In-person,United States,M,245180.0,100.0,266500.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,152000,152000,United States,Senior,Full-time,In-person,United States,M,139840.0,100.0,152000.0
2023,Applied Scientist,Data Science and Research,USD,222200,222200,United States,Mid-level,Full-time,In-person,United States,L,204424.0,100.0,222200.0
2023,Applied Scientist,Data Science and Research,USD,136000,136000,United States,Mid-level,Full-time,In-person,United States,L,125120.0,100.0,136000.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,273400,273400,United States,Senior,Full-time,In-person,United States,M,251528.0,100.0,273400.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,182200,182200,United States,Senior,Full-time,In-person,United States,M,167624.0,100.0,182200.0
2023,BI Developer,BI and Visualization,USD,167500,167500,United States,Senior,Full-time,In-person,United States,M,154100.0,100.0,167500.0
2023,BI Developer,BI and Visualization,USD,106500,106500,United States,Senior,Full-time,In-person,United States,M,97980.0,100.0,106500.0
2023,Data Engineer,Data Engineering,USD,185900,185900,United States,Senior,Full-time,In-person,United States,M,171028.0,100.0,185900.0
2023,Data Engineer,Data Engineering,USD,129300,129300,United States,Senior,Full-time,In-person,United States,M,118956.0,100.0,129300.0
2023,Business Intelligence Engineer,BI and Visualization,USD,185000,185000,United States,Mid-level,Full-time,In-person,United States,L,170200.0,100.0,185000.0
2023,Business Intelligence Engineer,BI and Visualization,USD,79600,79600,United States,Mid-level,Full-time,In-person,United States,L,73232.0,100.0,79600.0
2023,Data Engineer,Data Engineering,USD,122000,122000,United States,Senior,Full-time,In-person,United States,M,112240.0,100.0,122000.0
2023,Data Engineer,Data Engineering,USD,94500,94500,United States,Senior,Full-time,In-person,United States,M,86940.0,100.0,94500.0
2023,Data Engineer,Data Engineering,USD,247300,247300,United States,Senior,Full-time,In-person,United States,M,227516.0,100.0,247300.0
2023,Data Engineer,Data Engineering,USD,139700,139700,United States,Senior,Full-time,In-person,United States,M,128524.0,100.0,139700.0
2023,Data Analyst,Data Analysis,USD,176000,176000,United States,Senior,Full-time,In-person,United States,M,161920.0,100.0,176000.0
2023,Data Analyst,Data Analysis,USD,100000,100000,United States,Senior,Full-time,In-person,United States,M,92000.0,100.0,100000.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,204500,204500,United States,Senior,Full-time,In-person,United States,M,188140.0,100.0,204500.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,142200,142200,United States,Senior,Full-time,In-person,United States,M,130824.0,100.0,142200.0
2023,Research Scientist,Data Science and Research,USD,247600,247600,United States,Senior,Full-time,In-person,United States,L,227792.0,100.0,247600.0
2023,Research Scientist,Data Science and Research,USD,127300,127300,United States,Senior,Full-time,In-person,United States,L,117116.0,100.0,127300.0
2023,Data Scientist,Data Science and Research,USD,223400,223400,United States,Senior,Full-time,Remote,United States,M,205528.0,100.0,223400.0
2023,Data Scientist,Data Science and Research,USD,186200,186200,United States,Senior,Full-time,Remote,United States,M,171304.0,100.0,186200.0
2023,Data Engineer,Data Engineering,USD,167500,167500,United States,Senior,Full-time,In-person,United States,M,154100.0,100.0,167500.0
2023,Data Engineer,Data Engineering,USD,106500,106500,United States,Senior,Full-time,In-person,United States,M,97980.0,100.0,106500.0
2023,Data Scientist,Data Science and Research,USD,185900,185900,United States,Senior,Full-time,In-person,United States,M,171028.0,100.0,185900.0
2023,Data Scientist,Data Science and Research,USD,129300,129300,United States,Senior,Full-time,In-person,United States,M,118956.0,100.0,129300.0
2023,Research Analyst,Data Science and Research,USD,72000,72000,United States,Entry-level,Full-time,Remote,United States,M,66240.0,100.0,72000.0
2023,Research Analyst,Data Science and Research,USD,64000,64000,United States,Entry-level,Full-time,Remote,United States,M,58880.0,100.0,64000.0
2023,Analytics Engineer,Leadership and Management,USD,179820,179820,United States,Senior,Full-time,In-person,United States,M,165434.4,100.0,179820.0
2023,Analytics Engineer,Leadership and Management,USD,143860,143860,United States,Senior,Full-time,In-person,United States,M,132351.2,100.0,143860.0
2023,Research Scientist,Data Science and Research,USD,283050,283050,United States,Senior,Full-time,In-person,United States,M,260406.0,100.0,283050.0
2023,Research Scientist,Data Science and Research,USD,188700,188700,United States,Senior,Full-time,In-person,United States,M,173604.0,100.0,188700.0
2023,Data Engineer,Data Engineering,USD,133000,133000,United States,Mid-level,Full-time,In-person,United States,M,122360.0,100.0,133000.0
2023,Data Engineer,Data Engineering,USD,58400,58400,United States,Mid-level,Full-time,In-person,United States,M,53728.0,100.0,58400.0
2023,Research Engineer,Data Science and Research,USD,141298,141298,United States,Senior,Full-time,In-person,United States,M,129994.16,100.0,141298.0
2023,Research Engineer,Data Science and Research,USD,115607,115607,United States,Senior,Full-time,In-person,United States,M,106358.44,100.0,115607.0
2023,Data Analyst,Data Analysis,USD,100000,100000,United States,Entry-level,Full-time,In-person,United States,M,92000.0,100.0,100000.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,266500,266500,Canada,Senior,Full-time,In-person,Canada,M,245180.0,79.3,336065.57
2023,Machine Learning Engineer,Machine Learning and AI,USD,144400,144400,Canada,Senior,Full-time,In-person,Canada,M,132848.0,79.3,182093.32
2023,Data Engineer,Data Engineering,GBP,58000,71363,United Kingdom,Senior,Full-time,In-person,United Kingdom,M,65653.96,82.7,86291.41
2023,Data Engineer,Data Engineering,GBP,45000,55368,United Kingdom,Senior,Full-time,In-person,United Kingdom,M,50938.56,82.7,66950.42
2023,Research Scientist,Data Science and Research,USD,287500,287500,United States,Senior,Full-time,In-person,United States,M,264500.0,100.0,287500.0
2023,Research Scientist,Data Science and Research,USD,156000,156000,United States,Senior,Full-time,In-person,United States,M,143520.0,100.0,156000.0
2023,Data Analyst,Data Analysis,USD,90000,90000,United States,Mid-level,Full-time,Remote,United States,M,82800.0,100.0,90000.0
2023,Data Analyst,Data Analysis,USD,70000,70000,United States,Mid-level,Full-time,Remote,United States,M,64400.0,100.0,70000.0
2023,Data Engineer,Data Engineering,USD,199000,199000,United States,Senior,Full-time,In-person,United States,M,183080.0,100.0,199000.0
2023,Data Engineer,Data Engineering,USD,162000,162000,United States,Senior,Full-time,In-person,United States,M,149040.0,100.0,162000.0
2023,Data Engineer,Data Engineering,USD,170884,170884,United States,Mid-level,Full-time,Remote,United States,M,157213.28,100.0,170884.0
2023,Data Engineer,Data Engineering,USD,113923,113923,United States,Mid-level,Full-time,Remote,United States,M,104809.16,100.0,113923.0
2023,Data Engineer,Data Engineering,USD,184000,184000,United States,Mid-level,Full-time,In-person,United States,M,169280.0,100.0,184000.0
2023,Data Engineer,Data Engineering,USD,123000,123000,United States,Mid-level,Full-time,In-person,United States,M,113160.0,100.0,123000.0
2023,Data Scientist,Data Science and Research,USD,235750,235750,United States,Senior,Full-time,In-person,United States,M,216890.0,100.0,235750.0
2023,Data Scientist,Data Science and Research,USD,174250,174250,United States,Senior,Full-time,In-person,United States,M,160310.0,100.0,174250.0
2023,Research Scientist,Data Science and Research,USD,165000,165000,United States,Mid-level,Full-time,Remote,United States,M,151800.0,100.0,165000.0
2023,Research Scientist,Data Science and Research,USD,118800,118800,United States,Mid-level,Full-time,Remote,United States,M,109296.0,100.0,118800.0
2023,Data Engineer,Data Engineering,USD,225000,225000,United States,Senior,Full-time,Remote,United States,M,207000.0,100.0,225000.0
2023,Data Engineer,Data Engineering,USD,150000,150000,United States,Senior,Full-time,Remote,United States,M,138000.0,100.0,150000.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,213900,213900,United States,Mid-level,Full-time,In-person,United States,M,196788.0,100.0,213900.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,116800,116800,United States,Mid-level,Full-time,In-person,United States,M,107456.0,100.0,116800.0
2023,Data Scientist,Data Science and Research,USD,220000,220000,United States,Senior,Full-time,Remote,United States,M,202400.0,100.0,220000.0
2023,Data Scientist,Data Science and Research,USD,150000,150000,United States,Senior,Full-time,Remote,United States,M,138000.0,100.0,150000.0
2023,Data Scientist,Data Science and Research,USD,150000,150000,United States,Mid-level,Full-time,In-person,United States,M,138000.0,100.0,150000.0
2023,Data Scientist,Data Science and Research,USD,100000,100000,United States,Mid-level,Full-time,In-person,United States,M,92000.0,100.0,100000.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,247500,247500,United States,Mid-level,Full-time,In-person,United States,M,227700.0,100.0,247500.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,172200,172200,United States,Mid-level,Full-time,In-person,United States,M,158424.0,100.0,172200.0
2023,Data Engineer,Data Engineering,USD,155000,155000,United States,Mid-level,Full-time,In-person,United States,M,142600.0,100.0,155000.0
2023,Data Engineer,Data Engineering,USD,120000,120000,United States,Mid-level,Full-time,In-person,United States,M,110400.0,100.0,120000.0
2023,Data Engineer,Data Engineering,USD,226700,226700,United States,Senior,Full-time,In-person,United States,M,208564.0,100.0,226700.0
2023,Data Engineer,Data Engineering,USD,133300,133300,United States,Senior,Full-time,In-person,United States,M,122636.0,100.0,133300.0
2023,Data Engineer,Data Engineering,USD,184000,184000,United States,Senior,Full-time,In-person,United States,M,169280.0,100.0,184000.0
2023,Data Engineer,Data Engineering,USD,123000,123000,United States,Senior,Full-time,In-person,United States,M,113160.0,100.0,123000.0
2023,Data Scientist,Data Science and Research,USD,130000,130000,United States,Senior,Full-time,In-person,United States,M,119600.0,100.0,130000.0
2023,Data Scientist,Data Science and Research,USD,117000,117000,United States,Senior,Full-time,In-person,United States,M,107640.0,100.0,117000.0
2023,Data Science Engineer,Data Science and Research,USD,160000,160000,United States,Senior,Full-time,Remote,United States,M,147200.0,100.0,160000.0
2023,Data Science Engineer,Data Science and Research,USD,140000,140000,United States,Senior,Full-time,Remote,United States,M,128800.0,100.0,140000.0
2023,Data Scientist,Data Science and Research,USD,166000,166000,United States,Mid-level,Full-time,In-person,United States,M,152720.0,100.0,166000.0
2023,Data Scientist,Data Science and Research,USD,73000,73000,United States,Mid-level,Full-time,In-person,United States,M,67160.0,100.0,73000.0
2023,Data Scientist,Data Science and Research,USD,185900,185900,United States,Senior,Full-time,Remote,United States,M,171028.0,100.0,185900.0
2023,Data Scientist,Data Science and Research,USD,129300,129300,United States,Senior,Full-time,Remote,United States,M,118956.0,100.0,129300.0
2023,Data Engineer,Data Engineering,USD,130000,130000,United States,Mid-level,Full-time,In-person,United States,M,119600.0,100.0,130000.0
2023,Data Engineer,Data Engineering,USD,104000,104000,United States,Mid-level,Full-time,In-person,United States,M,95680.0,100.0,104000.0
2023,Data Engineer,Data Engineering,USD,143000,143000,United States,Senior,Full-time,Remote,United States,M,131560.0,100.0,143000.0
2023,Data Engineer,Data Engineering,USD,116000,116000,United States,Senior,Full-time,Remote,United States,M,106720.0,100.0,116000.0
2023,Research Scientist,Data Science and Research,USD,220000,220000,United States,Mid-level,Full-time,In-person,United States,M,202400.0,100.0,220000.0
2023,Research Scientist,Data Science and Research,USD,180000,180000,United States,Mid-level,Full-time,In-person,United States,M,165600.0,100.0,180000.0
2023,Data Engineer,Data Engineering,USD,215000,215000,United States,Senior,Full-time,In-person,United States,M,197800.0,100.0,215000.0
2023,Data Engineer,Data Engineering,USD,200000,200000,United States,Senior,Full-time,In-person,United States,M,184000.0,100.0,200000.0
2023,Data Scientist,Data Science and Research,USD,253000,253000,United States,Mid-level,Full-time,In-person,United States,M,232760.0,100.0,253000.0
2023,Data Scientist,Data Science and Research,USD,131000,131000,United States,Mid-level,Full-time,In-person,United States,M,120520.0,100.0,131000.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,220000,220000,United States,Senior,Full-time,In-person,United States,M,202400.0,100.0,220000.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,176000,176000,United States,Senior,Full-time,In-person,United States,M,161920.0,100.0,176000.0
2023,Data Quality Analyst,Data Quality and Operations,GBP,40000,49216,United Kingdom,Entry-level,Full-time,Remote,United Kingdom,M,45278.72,82.7,59511.49
2023,Data Quality Analyst,Data Quality and Operations,GBP,30000,36912,United Kingdom,Entry-level,Full-time,Remote,United Kingdom,M,33959.04,82.7,44633.62
2023,Data Scientist,Data Science and Research,USD,210000,210000,United States,Senior,Full-time,In-person,United States,M,193200.0,100.0,210000.0
2023,Data Scientist,Data Science and Research,USD,147000,147000,United States,Senior,Full-time,In-person,United States,M,135240.0,100.0,147000.0
2023,Data Product Manager,Leadership and Management,USD,186000,186000,United States,Mid-level,Full-time,In-person,United States,M,171120.0,100.0,186000.0
2023,Data Product Manager,Leadership and Management,USD,161000,161000,United States,Mid-level,Full-time,In-person,United States,M,148120.0,100.0,161000.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,205000,205000,United States,Senior,Full-time,In-person,United States,M,188600.0,100.0,205000.0
2023,Data Engineer,Data Engineering,USD,220000,220000,Canada,Mid-level,Full-time,Remote,Canada,M,202400.0,79.3,277427.49
2023,Data Engineer,Data Engineering,USD,190000,190000,Canada,Mid-level,Full-time,Remote,Canada,M,174800.0,79.3,239596.47
2023,Data Analyst,Data Analysis,USD,137000,137000,United States,Senior,Full-time,Remote,United States,M,126040.0,100.0,137000.0
2023,Data Analyst,Data Analysis,USD,110000,110000,United States,Senior,Full-time,Remote,United States,M,101200.0,100.0,110000.0
2023,Data Scientist,Data Science and Research,USD,172000,172000,United States,Senior,Full-time,Remote,United States,M,158240.0,100.0,172000.0
2023,Data Scientist,Data Science and Research,USD,146000,146000,United States,Senior,Full-time,Remote,United States,M,134320.0,100.0,146000.0
2023,Data Engineer,Data Engineering,USD,148000,148000,United States,Mid-level,Full-time,In-person,United States,M,136160.0,100.0,148000.0
2023,Data Engineer,Data Engineering,USD,99000,99000,United States,Mid-level,Full-time,In-person,United States,M,91080.0,100.0,99000.0
2023,Data Scientist,Data Science and Research,USD,150000,150000,United States,Senior,Full-time,In-person,United States,M,138000.0,100.0,150000.0
2023,Data Analyst,Data Analysis,USD,105000,105000,United States,Entry-level,Full-time,In-person,United States,M,96600.0,100.0,105000.0
2023,Data Engineer,Data Engineering,USD,99000,99000,United States,Senior,Full-time,In-person,United States,M,91080.0,100.0,99000.0
2023,Data Engineer,Data Engineering,USD,52500,52500,United States,Senior,Full-time,In-person,United States,M,48300.0,100.0,52500.0
2023,Machine Learning Scientist,Machine Learning and AI,USD,180514,180514,United States,Senior,Full-time,Remote,United States,M,166072.88,100.0,180514.0
2023,Machine Learning Scientist,Machine Learning and AI,USD,108308,108308,United States,Senior,Full-time,Remote,United States,M,99643.36,100.0,108308.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,210000,210000,United States,Senior,Full-time,In-person,United States,M,193200.0,100.0,210000.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,147000,147000,United States,Senior,Full-time,In-person,United States,M,135240.0,100.0,147000.0
2023,Data Engineer,Data Engineering,USD,290300,290300,United States,Senior,Full-time,In-person,United States,M,267076.0,100.0,290300.0
2023,Data Engineer,Data Engineering,USD,196685,196685,United States,Senior,Full-time,In-person,United States,M,180950.2,100.0,196685.0
2023,AI Engineer,Machine Learning and AI,USD,220000,220000,United States,Senior,Full-time,In-person,United States,M,202400.0,100.0,220000.0
2023,AI Engineer,Machine Learning and AI,USD,176000,176000,United States,Senior,Full-time,In-person,United States,M,161920.0,100.0,176000.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,175000,175000,United States,Mid-level,Full-time,In-person,United States,M,161000.0,100.0,175000.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,130000,130000,United States,Mid-level,Full-time,In-person,United States,M,119600.0,100.0,130000.0
2023,Data Architect,Data Architecture and Modeling,USD,185000,185000,United States,Senior,Full-time,In-person,United States,M,170200.0,100.0,185000.0
2023,Data Architect,Data Architecture and Modeling,USD,150000,150000,United States,Senior,Full-time,In-person,United States,M,138000.0,100.0,150000.0
2023,Data Engineer,Data Engineering,USD,145000,145000,United States,Senior,Full-time,In-person,United States,M,133400.0,100.0,145000.0
2023,Data Engineer,Data Engineering,USD,115000,115000,United States,Senior,Full-time,In-person,United States,M,105800.0,100.0,115000.0
2023,MLOps Engineer,Machine Learning and AI,USD,133000,133000,United States,Entry-level,Full-time,In-person,United States,M,122360.0,100.0,133000.0
2023,MLOps Engineer,Machine Learning and AI,USD,58300,58300,United States,Entry-level,Full-time,In-person,United States,M,53636.0,100.0,58300.0
2023,Analytics Engineer,Leadership and Management,USD,115000,115000,United States,Senior,Full-time,In-person,United States,M,105800.0,100.0,115000.0
2023,Analytics Engineer,Leadership and Management,USD,95000,95000,United States,Senior,Full-time,In-person,United States,M,87400.0,100.0,95000.0
2023,Data Engineer,Data Engineering,GBP,89600,110244,United Kingdom,Mid-level,Full-time,In-person,United Kingdom,M,101424.48,82.7,133305.93
2023,Data Engineer,Data Engineering,GBP,32000,39372,United Kingdom,Mid-level,Full-time,In-person,United Kingdom,M,36222.24,82.7,47608.22
